===== 方案A 3串1 优化网格（7+8月合并，全部组合按 p_hit 排序） =====
cfg = 选数|方向腿|选场门槛|组合约束  [月份: 出串/命中]
mild|all|phat50|none                   n=35  命中=10  p_hit=0.286 均赔=4.12 ROI=+0.178 出串=35天 [2026-07:10/3 2026-08:25/7]
mild|ambi|phat50|difflg_loose          n=28  命中=8   p_hit=0.286 均赔=4.14 ROI=+0.183 出串=28天 [2026-07:8/2 2026-08:20/6]
curr|all|none|none                     n=36  命中=10  p_hit=0.278 均赔=5.68 ROI=+0.578 出串=36天 [2026-07:11/3 2026-08:25/7]
mild|ambi|phat50|ladder                n=29  命中=8   p_hit=0.276 均赔=4.14 ROI=+0.143 出串=29天 [2026-07:9/1 2026-08:20/7]
curr|all|none|difflg_loose             n=33  命中=9   p_hit=0.273 均赔=5.82 ROI=+0.586 出串=33天 [2026-07:9/2 2026-08:24/7]
curr|ambi|none|none                    n=33  命中=9   p_hit=0.273 均赔=5.80 ROI=+0.581 出串=33天 [2026-07:11/3 2026-08:22/6]
curr|ambi|phat45|none                  n=22  命中=6   p_hit=0.273 均赔=4.15 ROI=+0.132 出串=22天 [2026-07:8/3 2026-08:14/3]
curr|ambi|phat50|none                  n=22  命中=6   p_hit=0.273 均赔=4.15 ROI=+0.132 出串=22天 [2026-07:8/3 2026-08:14/3]
curr|ambi|none|difflg_loose            n=31  命中=8   p_hit=0.258 均赔=6.04 ROI=+0.558 出串=31天 [2026-07:9/2 2026-08:22/6]
curr|all|none|ladder                   n=35  命中=9   p_hit=0.257 均赔=6.06 ROI=+0.559 出串=35天 [2026-07:11/2 2026-08:24/7]
curr|ambi|none|ladder                  n=33  命中=8   p_hit=0.242 均赔=6.19 ROI=+0.500 出串=33天 [2026-07:11/2 2026-08:22/6]

===== 按 ROI 排序 =====
curr|all|phat45|difflg                 n=14  命中=7   p_hit=0.500 均赔=3.98 ROI=+0.991 出串=14天
curr|all|phat50|difflg                 n=14  命中=7   p_hit=0.500 均赔=3.98 ROI=+0.991 出串=14天
mild|ambi|none|difflg                  n=22  命中=10  p_hit=0.455 均赔=4.35 ROI=+0.978 出串=22天
curr|all|none|difflg                   n=24  命中=8   p_hit=0.333 均赔=5.92 ROI=+0.973 出串=24天
mild|all|none|difflg                   n=24  命中=11  p_hit=0.458 均赔=4.28 ROI=+0.961 出串=24天
curr|ambi|none|difflg                  n=22  命中=7   p_hit=0.318 均赔=6.04 ROI=+0.921 出串=22天
mild|ambi|phat45|difflg                n=20  命中=9   p_hit=0.450 均赔=4.13 ROI=+0.858 出串=20天
mild|all|phat45|difflg                 n=22  命中=10  p_hit=0.455 均赔=4.02 ROI=+0.829 出串=22天
curr|ambi|phat45|difflg                n=12  命中=5   p_hit=0.417 均赔=3.97 ROI=+0.653 出串=12天
curr|ambi|phat50|difflg                n=12  命中=5   p_hit=0.417 均赔=3.97 ROI=+0.653 出串=12天
